,count,mean,std,min,25%,50%,75%,max
[Candidate] Overall,141.0,48.704034014557664,22.196970055502607,0.0,31.25,51.66700000000001,64.444,90.0
[AWS] EC2,141.0,82.97872340425532,22.720968315980848,0.0,75.0,87.5,100.0,100.0
[AWS] S3: Arch,141.0,67.73049645390071,37.86005800173357,0.0,50.0,100.0,100.0,100.0
[AWS] S3: Access,141.0,52.12765957446808,37.7360856217853,0.0,0.0,50.0,100.0,100.0
[AWS] S3: Classes,141.0,41.48936170212766,38.710208513531605,0.0,0.0,50.0,50.0,100.0
[AWS] S3: DR,141.0,45.0354609929078,36.500961112104925,0.0,0.0,50.0,50.0,100.0
[AWS] IAM,141.0,27.5177304964539,32.648693440687516,0.0,0.0,20.0,60.0,100.0
[AWS] Networking,141.0,71.98581560283688,33.83589299115086,0.0,50.0,87.5,100.0,100.0
[AWS] Net. App. Reliability,141.0,62.677304964539005,37.35047019936262,0.0,37.5,75.0,87.5,100.0
[TF] Configuration drifts,36.0,44.44444444444444,33.333333333333336,0.0,0.0,50.0,50.0,100.0
[TF] Use of count & for_each,36.0,29.166666666666668,29.580398915498076,0.0,0.0,25.0,50.0,100.0
[TF] Environments,36.0,76.38888888888889,33.2439277185884,0.0,50.0,100.0,100.0,100.0
[TF] Managing resources,36.0,68.33333333333333,27.202941017470888,0.0,60.0,80.0,80.0,100.0
[TF] Process,36.0,76.38888888888889,36.81248063033419,0.0,50.0,100.0,100.0,100.0
[TF] Secrets and States,36.0,25.925555555555555,30.975281799197287,0.0,0.0,16.665,33.33,100.0
[TF] Sensitive information,36.0,29.166666666666668,23.528098702858003,0.0,18.75,25.0,50.0,75.0
[TF] Best practices,36.0,49.30555555555556,27.701283564324438,0.0,25.0,50.0,75.0,100.0
[TF] Managing values,36.0,59.44444444444444,32.244108604248,0.0,40.0,60.0,80.0,100.0
[K8] Architecture: Auto Scaling,37.0,31.35135135135135,34.75406947891635,0.0,0.0,25.0,50.0,100.0
[K8] Architecture: Control Plane,37.0,22.972972972972972,33.00798429209253,0.0,0.0,0.0,50.0,100.0
[K8] Core Concepts,37.0,54.9227027027027,35.757422900601945,0.0,50.0,50.0,100.0,100.0
[K8] Services & Networking: Ingress,37.0,35.810810810810814,38.43308603406838,0.0,0.0,50.0,75.0,100.0
[K8] Services & Networking: Service,37.0,49.22027027027027,39.305543607209636,0.0,0.0,50.0,75.0,100.0
[K8] Workload Management,37.0,43.72594594594595,41.82288072996111,0.0,0.0,25.0,100.0,100.0
